Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Año,Empresa
Asistente Contabilidad,0,1,2,2021,Chonchi
Jefe RRHH,0,1,2,2021,Chonchi
Jefe de Adquisición,0,1,2,2021,Chonchi
Prevención de Riesgo,1,1,2,2021,Chonchi
Control de Gestión,0,0,2,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,28,1,2,2021,Chonchi
Operarios directos (producción),161,0,7,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",63,2,7,2021,Chonchi
Jefes de Turno,0,2,7,2021,Chonchi
Supervisores Producción,10,3,7,2021,Chonchi
Supervisores Calidad,4,0,7,2021,Chonchi
Monitores Calidad,17,2,7,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,25,11,7,2021,Chonchi
Tesorero,0,0,7,2021,Chonchi
Asistente Contabilidad,0,1,7,2021,Chonchi
Jefe RRHH,0,1,7,2021,Chonchi
Jefe de Adquisición,0,1,7,2021,Chonchi
Prevención de Riesgo,1,1,7,2021,Chonchi
Control de Gestión,0,0,7,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,34,1,7,2021,Chonchi
Operarios directos (producción),196,0,3,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",61,2,3,2021,Chonchi
Jefes de Turno,0,2,3,2021,Chonchi
Supervisores Producción,10,3,3,2021,Chonchi
Supervisores Calidad,4,0,3,2021,Chonchi
Monitores Calidad,24,2,3,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,28,11,3,2021,Chonchi
Tesorero,0,0,3,2021,Chonchi
Asistente Contabilidad,0,1,3,2021,Chonchi
Jefe RRHH,0,1,3,2021,Chonchi
Jefe de Adquisición,0,1,3,2021,Chonchi
Prevención de Riesgo,1,1,3,2021,Chonchi
Control de Gestión,0,0,3,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,35,1,3,2021,Chonchi
Operarios directos (producción),192,0,4,2021,Chonchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",65,2,4,2021,Chonchi
Jefes de Turno,0,2,4,2021,Chonchi
Supervisores Producción,10,3,4,2021,Chonchi
Supervisores Calidad,4,0,4,2021,Chonchi
Monitores Calidad,23,2,4,2021,Chonchi
Operadores Mantención y Administración Directo Planta (Contador,28,11,4,2021,Chonchi
Tesorero,0,0,4,2021,Chonchi
Asistente Contabilidad,0,1,4,2021,Chonchi
Jefe RRHH,0,1,4,2021,Chonchi
Jefe de Adquisición,0,1,4,2021,Chonchi
Prevención de Riesgo,1,1,4,2021,Chonchi
Control de Gestión,0,0,4,2021,Chonchi
Otro cargo que su trabajo esté asociado directamente con Planta,34,1,4,2021,Chonchi
Operarios directos (producción),62,8,9,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",12,1,9,2021,Quemchi
Jefes de Turno,0,2,9,2021,Quemchi
Supervisores Producción,8,1,9,2021,Quemchi
Supervisores Calidad,1,1,9,2021,Quemchi
Monitores Calidad,9,2,9,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,22,13,9,2021,Quemchi
Tesorero,0,0,9,2021,Quemchi
Asistente Contabilidad,0,0,9,2021,Quemchi
Jefe RRHH,0,1,9,2021,Quemchi
Jefe de Adquisición,0,1,9,2021,Quemchi
Prevención de Riesgo,1,1,9,2021,Quemchi
Control de Gestión,0,0,9,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,15,1,9,2021,Quemchi
Operarios directos (producción),175,8,6,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,6,2021,Quemchi
Jefes de Turno,0,2,6,2021,Quemchi
Supervisores Producción,13,1,6,2021,Quemchi
Supervisores Calidad,1,1,6,2021,Quemchi
Monitores Calidad,15,2,6,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,26,13,6,2021,Quemchi
Tesorero,0,0,6,2021,Quemchi
Asistente Contabilidad,0,0,6,2021,Quemchi
Jefe RRHH,0,1,6,2021,Quemchi
Jefe de Adquisición,0,1,6,2021,Quemchi
Prevención de Riesgo,1,1,6,2021,Quemchi
Control de Gestión,0,0,6,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,23,1,6,2021,Quemchi
Operarios directos (producción),172,8,5,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,5,2021,Quemchi
Jefes de Turno,0,2,5,2021,Quemchi
Supervisores Producción,13,1,5,2021,Quemchi
Supervisores Calidad,1,1,5,2021,Quemchi
Monitores Calidad,17,2,5,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,26,13,5,2021,Quemchi
Tesorero,0,0,5,2021,Quemchi
Asistente Contabilidad,0,0,5,2021,Quemchi
Jefe RRHH,0,1,5,2021,Quemchi
Jefe de Adquisición,0,1,5,2021,Quemchi
Prevención de Riesgo,1,1,5,2021,Quemchi
Control de Gestión,0,0,5,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,23,1,5,2021,Quemchi
Operarios directos (producción),173,8,1,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,1,2021,Quemchi
Jefes de Turno,0,2,1,2021,Quemchi
Supervisores Producción,7,1,1,2021,Quemchi
Supervisores Calidad,1,1,1,2021,Quemchi
Monitores Calidad,16,2,1,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,28,13,1,2021,Quemchi
Tesorero,0,0,1,2021,Quemchi
Asistente Contabilidad,0,0,1,2021,Quemchi
Jefe RRHH,0,1,1,2021,Quemchi
Jefe de Adquisición,0,1,1,2021,Quemchi
Prevención de Riesgo,0,1,1,2021,Quemchi
Control de Gestión,0,0,1,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,1,2021,Quemchi
Operarios directos (producción),135,8,8,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",38,1,8,2021,Quemchi
Jefes de Turno,0,2,8,2021,Quemchi
Supervisores Producción,13,1,8,2021,Quemchi
Supervisores Calidad,1,1,8,2021,Quemchi
Monitores Calidad,13,2,8,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,25,13,8,2021,Quemchi
Tesorero,0,0,8,2021,Quemchi
Asistente Contabilidad,0,0,8,2021,Quemchi
Jefe RRHH,0,1,8,2021,Quemchi
Jefe de Adquisición,0,1,8,2021,Quemchi
Prevención de Riesgo,1,1,8,2021,Quemchi
Control de Gestión,0,0,8,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,22,1,8,2021,Quemchi
Operarios directos (producción),169,8,2,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,2,2021,Quemchi
Jefes de Turno,0,2,2,2021,Quemchi
Supervisores Producción,7,1,2,2021,Quemchi
Supervisores Calidad,1,1,2,2021,Quemchi
Monitores Calidad,17,2,2,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,28,13,2,2021,Quemchi
Tesorero,0,0,2,2021,Quemchi
Asistente Contabilidad,0,0,2,2021,Quemchi
Jefe RRHH,0,1,2,2021,Quemchi
Jefe de Adquisición,0,1,2,2021,Quemchi
Prevención de Riesgo,1,1,2,2021,Quemchi
Control de Gestión,0,0,2,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,17,1,2,2021,Quemchi
Operarios directos (producción),157,8,7,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",34,1,7,2021,Quemchi
Jefes de Turno,0,2,7,2021,Quemchi
Supervisores Producción,13,1,7,2021,Quemchi
Supervisores Calidad,1,1,7,2021,Quemchi
Monitores Calidad,13,2,7,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,22,13,7,2021,Quemchi
Tesorero,0,0,7,2021,Quemchi
Asistente Contabilidad,0,0,7,2021,Quemchi
Jefe RRHH,0,1,7,2021,Quemchi
Jefe de Adquisición,0,1,7,2021,Quemchi
Prevención de Riesgo,1,1,7,2021,Quemchi
Control de Gestión,0,0,7,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,20,1,7,2021,Quemchi
Operarios directos (producción),174,8,3,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,3,2021,Quemchi
Jefes de Turno,0,2,3,2021,Quemchi
Supervisores Producción,7,1,3,2021,Quemchi
Supervisores Calidad,1,1,3,2021,Quemchi
Monitores Calidad,17,2,3,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,28,13,3,2021,Quemchi
Tesorero,0,0,3,2021,Quemchi
Asistente Contabilidad,0,0,3,2021,Quemchi
Jefe RRHH,0,1,3,2021,Quemchi
Jefe de Adquisición,0,1,3,2021,Quemchi
Prevención de Riesgo,1,1,3,2021,Quemchi
Control de Gestión,0,0,3,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,29,1,3,2021,Quemchi
Operarios directos (producción),187,8,4,2021,Quemchi
"Operarios Indirectos (Frigorífico, Aseo, etc)",41,1,4,2021,Quemchi
Jefes de Turno,0,2,4,2021,Quemchi
Supervisores Producción,13,1,4,2021,Quemchi
Supervisores Calidad,1,1,4,2021,Quemchi
Monitores Calidad,17,2,4,2021,Quemchi
Operadores Mantención y Administración Directo Planta (Contador,26,13,4,2021,Quemchi
Tesorero,0,0,4,2021,Quemchi
Asistente Contabilidad,0,0,4,2021,Quemchi
Jefe RRHH,0,1,4,2021,Quemchi
Jefe de Adquisición,0,1,4,2021,Quemchi
Prevención de Riesgo,1,1,4,2021,Quemchi
Control de Gestión,0,0,4,2021,Quemchi
Otro cargo que su trabajo esté asociado directamente con Planta,25,1,4,2021,Quemchi
Operarios directos (producción),93,21,6,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",7,8,6,2021,Landes
Jefes de Turno,0,2,6,2021,Landes
Supervisores Producción,3,15,6,2021,Landes
Supervisores Calidad,0,3,6,2021,Landes
Monitores Calidad,3,9,6,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,24,6,2021,Landes
Tesorero,0,1,6,2021,Landes
Asistente Contabilidad,0,1,6,2021,Landes
Jefe RRHH,2,1,6,2021,Landes
Jefe de Adquisición,1,1,6,2021,Landes
Prevención de Riesgo,0,2,6,2021,Landes
Control de Gestión,0,1,6,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,6,2021,Landes
Operarios directos (producción),103,21,5,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",7,8,5,2021,Landes
Jefes de Turno,0,2,5,2021,Landes
Supervisores Producción,3,15,5,2021,Landes
Supervisores Calidad,0,3,5,2021,Landes
Monitores Calidad,3,9,5,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,24,5,2021,Landes
Tesorero,0,1,5,2021,Landes
Asistente Contabilidad,0,1,5,2021,Landes
Jefe RRHH,2,1,5,2021,Landes
Jefe de Adquisición,1,1,5,2021,Landes
Prevención de Riesgo,0,2,5,2021,Landes
Control de Gestión,0,1,5,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,5,2021,Landes
Operarios directos (producción),111,20,1,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",7,8,1,2021,Landes
Jefes de Turno,0,2,1,2021,Landes
Supervisores Producción,0,15,1,2021,Landes
Supervisores Calidad,0,4,1,2021,Landes
Monitores Calidad,4,8,1,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,26,1,2021,Landes
Tesorero,0,1,1,2021,Landes
Asistente Contabilidad,0,1,1,2021,Landes
Jefe RRHH,1,2,1,2021,Landes
Jefe de Adquisición,0,1,1,2021,Landes
Prevención de Riesgo,0,2,1,2021,Landes
Control de Gestión,0,1,1,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,1,2021,Landes
Operarios directos (producción),80,22,8,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",3,7,8,2021,Landes
Jefes de Turno,0,2,8,2021,Landes
Supervisores Producción,3,15,8,2021,Landes
Supervisores Calidad,0,3,8,2021,Landes
Monitores Calidad,3,9,8,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,25,8,2021,Landes
Tesorero,0,1,8,2021,Landes
Asistente Contabilidad,0,1,8,2021,Landes
Jefe RRHH,2,1,8,2021,Landes
Jefe de Adquisición,1,1,8,2021,Landes
Prevención de Riesgo,0,2,8,2021,Landes
Control de Gestión,0,1,8,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,8,2021,Landes
Operarios directos (producción),107,20,2,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",8,8,2,2021,Landes
Jefes de Turno,0,2,2,2021,Landes
Supervisores Producción,0,15,2,2021,Landes
Supervisores Calidad,0,4,2,2021,Landes
Monitores Calidad,4,8,2,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,26,2,2021,Landes
Tesorero,0,1,2,2021,Landes
Asistente Contabilidad,0,1,2,2021,Landes
Jefe RRHH,2,1,2,2021,Landes
Jefe de Adquisición,0,1,2,2021,Landes
Prevención de Riesgo,0,2,2,2021,Landes
Control de Gestión,0,1,2,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,2,2021,Landes
Operarios directos (producción),84,22,7,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",5,7,7,2021,Landes
Jefes de Turno,0,2,7,2021,Landes
Supervisores Producción,3,15,7,2021,Landes
Supervisores Calidad,0,3,7,2021,Landes
Monitores Calidad,3,9,7,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,25,7,2021,Landes
Tesorero,0,1,7,2021,Landes
Asistente Contabilidad,0,1,7,2021,Landes
Jefe RRHH,2,1,7,2021,Landes
Jefe de Adquisición,1,1,7,2021,Landes
Prevención de Riesgo,0,2,7,2021,Landes
Control de Gestión,0,1,7,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,7,2021,Landes
Operarios directos (producción),135,20,3,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,8,3,2021,Landes
Jefes de Turno,0,2,3,2021,Landes
Supervisores Producción,4,15,3,2021,Landes
Supervisores Calidad,0,3,3,2021,Landes
Monitores Calidad,8,6,3,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,23,3,2021,Landes
Tesorero,0,1,3,2021,Landes
Asistente Contabilidad,0,1,3,2021,Landes
Jefe RRHH,2,1,3,2021,Landes
Jefe de Adquisición,1,1,3,2021,Landes
Prevención de Riesgo,0,2,3,2021,Landes
Control de Gestión,0,1,3,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,3,2021,Landes
Operarios directos (producción),134,20,4,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",9,8,4,2021,Landes
Jefes de Turno,0,2,4,2021,Landes
Supervisores Producción,4,15,4,2021,Landes
Supervisores Calidad,0,3,4,2021,Landes
Monitores Calidad,8,6,4,2021,Landes
Operadores Mantención y Administración Directo Planta (Contador,0,23,4,2021,Landes
Tesorero,0,1,4,2021,Landes
Asistente Contabilidad,0,1,4,2021,Landes
Jefe RRHH,2,1,4,2021,Landes
Jefe de Adquisición,1,1,4,2021,Landes
Prevención de Riesgo,0,2,4,2021,Landes
Control de Gestión,0,1,4,2021,Landes
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,4,2021,Landes
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,6,2021,Camanchaca
Jefes de Turno,0,4,6,2021,Camanchaca
Supervisores Producción,9,4,6,2021,Camanchaca
Supervisores Calidad,0,1,6,2021,Camanchaca
Monitores Calidad,27,1,6,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,6,2021,Camanchaca
Tesorero,0,0,6,2021,Camanchaca
Asistente Contabilidad,0,1,6,2021,Camanchaca
Jefe RRHH,0,1,6,2021,Camanchaca
Jefe de Adquisición,0,0,6,2021,Camanchaca
Prevención de Riesgo,0,1,6,2021,Camanchaca
Control de Gestión,0,2,6,2021,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,6,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,5,2021,Camanchaca
Jefes de Turno,0,4,5,2021,Camanchaca
Supervisores Producción,9,4,5,2021,Camanchaca
Supervisores Calidad,0,1,5,2021,Camanchaca
Monitores Calidad,28,1,5,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,5,2021,Camanchaca
Tesorero,0,0,5,2021,Camanchaca
Asistente Contabilidad,0,1,5,2021,Camanchaca
Jefe RRHH,0,1,5,2021,Camanchaca
Jefe de Adquisición,0,0,5,2021,Camanchaca
Prevención de Riesgo,0,1,5,2021,Camanchaca
Control de Gestión,0,2,5,2021,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,5,2021,Camanchaca
Operarios directos (producción),266,9,1,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,1,2021,Camanchaca
Jefes de Turno,0,4,1,2021,Camanchaca
Supervisores Producción,9,4,1,2021,Camanchaca
Supervisores Calidad,0,1,1,2021,Camanchaca
Monitores Calidad,28,1,1,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,1,2021,Camanchaca
Tesorero,0,0,1,2021,Camanchaca
Asistente Contabilidad,0,1,1,2021,Camanchaca
Jefe RRHH,0,1,1,2021,Camanchaca
Jefe de Adquisición,0,0,1,2021,Camanchaca
Prevención de Riesgo,0,1,1,2021,Camanchaca
Control de Gestión,0,2,1,2021,Camanchaca
Operarios directos (producción),107,3,8,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",32,10,8,2021,Camanchaca
Jefes de Turno,0,4,8,2021,Camanchaca
Supervisores Producción,9,4,8,2021,Camanchaca
Supervisores Calidad,0,1,8,2021,Camanchaca
Monitores Calidad,14,1,8,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,8,2021,Camanchaca
Tesorero,0,0,8,2021,Camanchaca
Asistente Contabilidad,0,1,8,2021,Camanchaca
Jefe RRHH,0,1,8,2021,Camanchaca
Jefe de Adquisición,0,0,8,2021,Camanchaca
Prevención de Riesgo,0,1,8,2021,Camanchaca
Control de Gestión,0,2,8,2021,Camanchaca
Operarios directos (producción),216,9,2,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,2,2021,Camanchaca
Jefes de Turno,0,4,2,2021,Camanchaca
Supervisores Producción,9,4,2,2021,Camanchaca
Supervisores Calidad,0,1,2,2021,Camanchaca
Monitores Calidad,28,1,2,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,2,2021,Camanchaca
Tesorero,0,0,2,2021,Camanchaca
Asistente Contabilidad,0,1,2,2021,Camanchaca
Jefe RRHH,0,1,2,2021,Camanchaca
Jefe de Adquisición,0,0,2,2021,Camanchaca
Prevención de Riesgo,0,1,2,2021,Camanchaca
Control de Gestión,0,2,2,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,7,2021,Camanchaca
Jefes de Turno,0,4,7,2021,Camanchaca
Supervisores Producción,9,4,7,2021,Camanchaca
Supervisores Calidad,0,1,7,2021,Camanchaca
Monitores Calidad,27,1,7,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,7,2021,Camanchaca
Tesorero,0,0,7,2021,Camanchaca
Asistente Contabilidad,0,1,7,2021,Camanchaca
Jefe RRHH,0,1,7,2021,Camanchaca
Jefe de Adquisición,0,0,7,2021,Camanchaca
Prevención de Riesgo,0,1,7,2021,Camanchaca
Control de Gestión,0,2,7,2021,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,7,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,3,2021,Camanchaca
Jefes de Turno,0,4,3,2021,Camanchaca
Supervisores Producción,9,4,3,2021,Camanchaca
Supervisores Calidad,0,1,3,2021,Camanchaca
Monitores Calidad,28,1,3,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,3,2021,Camanchaca
Tesorero,0,0,3,2021,Camanchaca
Asistente Contabilidad,0,1,3,2021,Camanchaca
Jefe RRHH,0,1,3,2021,Camanchaca
Jefe de Adquisición,0,0,3,2021,Camanchaca
Prevención de Riesgo,0,1,3,2021,Camanchaca
Control de Gestión,0,2,3,2021,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,3,2021,Camanchaca
"Operarios Indirectos (Frigorífico, Aseo, etc)",51,8,4,2021,Camanchaca
Jefes de Turno,0,4,4,2021,Camanchaca
Supervisores Producción,9,4,4,2021,Camanchaca
Supervisores Calidad,0,1,4,2021,Camanchaca
Monitores Calidad,28,1,4,2021,Camanchaca
Operadores Mantención y Administración Directo Planta (Contador,10,17,4,2021,Camanchaca
Tesorero,0,0,4,2021,Camanchaca
Asistente Contabilidad,0,1,4,2021,Camanchaca
Jefe RRHH,0,1,4,2021,Camanchaca
Jefe de Adquisición,0,0,4,2021,Camanchaca
Prevención de Riesgo,0,1,4,2021,Camanchaca
Control de Gestión,0,2,4,2021,Camanchaca
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,4,2021,Camanchaca
Operarios directos (producción),5,157,9,2021,Manuelita
"Operarios Indirectos (Frigorífico, Aseo, etc)",1,28,9,2021,Manuelita
Jefes de Turno,0,2,9,2021,Manuelita
Supervisores Producción,2,6,9,2021,Manuelita
Supervisores Calidad,0,2,9,2021,Manuelita
Monitores Calidad,2,18,9,2021,Manuelita
Operadores Mantención y Administración Directo Planta (Contador,0,14,9,2021,Manuelita
Tesorero,0,1,9,2021,Manuelita
Asistente Contabilidad,0,2,9,2021,Manuelita
Jefe RRHH,0,1,9,2021,Manuelita
Jefe de Adquisición,0,1,9,2021,Manuelita
Prevención de Riesgo,0,1,9,2021,Manuelita
Control de Gestión,0,0,9,2021,Manuelita
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,9,2021,Manuelita
Operarios directos (producción),22,165,6,2021,Manuelita
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,65,6,2021,Manuelita
Jefes de Turno,0,3,6,2021,Manuelita
Supervisores Producción,0,8,6,2021,Manuelita
Supervisores Calidad,0,2,6,2021,Manuelita
Monitores Calidad,5,17,6,2021,Manuelita
Operadores Mantención y Administración Directo Planta (Contador,0,18,6,2021,Manuelita
Tesorero,0,1,6,2021,Manuelita
Asistente Contabilidad,0,2,6,2021,Manuelita
Jefe RRHH,0,1,6,2021,Manuelita
Jefe de Adquisición,0,1,6,2021,Manuelita
Prevención de Riesgo,1,0,6,2021,Manuelita
Control de Gestión,0,0,6,2021,Manuelita
Otro cargo que su trabajo esté asociado directamente con Planta,0,0,6,2021,Manuelita
Operarios directos (producción),31,160,5,2021,Manuelita
"Operarios Indirectos (Frigorífico, Aseo, etc)",2,68,5,2021,Manuelita
Jefes de Turno,0,3,5,2021,Manuelita
Supervisores Producción,0,8,5,2021,Manuelita
Supervisores Calidad,0,2,5,2021,Manuelita
Monitores Calidad,5,18,5,2021,Manuelita
Operadores Mantención y Administración Directo Planta (Contador,4,14,5,2021,Manuelita
Tesorero,0,1,5,2021,Manuelita
Asistente Contabilidad,0,2,5,2021,Manuelita
Jefe RRHH,0,1,5,2021,Manuelita
