Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Ano,Empresa
Operadores Mantencion y Administracion Directo Planta (Contador,28,11,3,2021,St Andrews
Tesorero,0,0,3,2021,St Andrews
Asistente Contabilidad,0,1,3,2021,St Andrews
Jefe RRHH,0,1,3,2021,St Andrews
Jefe de Adquisicion,0,1,3,2021,St Andrews
Prevencion de Riesgo,1,1,3,2021,St Andrews
Control de Gestion,0,0,3,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,35,1,3,2021,St Andrews
Operarios directos (produccion),192,0,4,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",65,2,4,2021,St Andrews
Jefes de Turno,0,2,4,2021,St Andrews
Supervisores Produccion,10,3,4,2021,St Andrews
Supervisores Calidad,4,0,4,2021,St Andrews
Monitores Calidad,23,2,4,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,11,4,2021,St Andrews
Tesorero,0,0,4,2021,St Andrews
Asistente Contabilidad,0,1,4,2021,St Andrews
Jefe RRHH,0,1,4,2021,St Andrews
Jefe de Adquisicion,0,1,4,2021,St Andrews
Prevencion de Riesgo,1,1,4,2021,St Andrews
Control de Gestion,0,0,4,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,34,1,4,2021,St Andrews
Operarios directos (produccion),184,0,5,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",63,2,5,2021,St Andrews
Jefes de Turno,0,2,5,2021,St Andrews
Supervisores Produccion,10,3,5,2021,St Andrews
Supervisores Calidad,4,0,5,2021,St Andrews
Monitores Calidad,21,2,5,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,11,5,2021,St Andrews
Tesorero,0,0,5,2021,St Andrews
Asistente Contabilidad,0,1,5,2021,St Andrews
Jefe RRHH,0,1,5,2021,St Andrews
Jefe de Adquisicion,0,1,5,2021,St Andrews
Prevencion de Riesgo,1,1,5,2021,St Andrews
Control de Gestion,0,0,5,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,34,1,5,2021,St Andrews
Operarios directos (produccion),168,0,6,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",63,2,6,2021,St Andrews
Jefes de Turno,0,2,6,2021,St Andrews
Supervisores Produccion,10,3,6,2021,St Andrews
Supervisores Calidad,4,0,6,2021,St Andrews
Monitores Calidad,17,2,6,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,11,6,2021,St Andrews
Tesorero,0,0,6,2021,St Andrews
Asistente Contabilidad,0,1,6,2021,St Andrews
Jefe RRHH,0,1,6,2021,St Andrews
Jefe de Adquisicion,0,1,6,2021,St Andrews
Prevencion de Riesgo,1,1,6,2021,St Andrews
Control de Gestion,0,0,6,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,34,1,6,2021,St Andrews
Operarios directos (produccion),161,0,7,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",63,2,7,2021,St Andrews
Jefes de Turno,0,2,7,2021,St Andrews
Supervisores Produccion,10,3,7,2021,St Andrews
Supervisores Calidad,4,0,7,2021,St Andrews
Monitores Calidad,17,2,7,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,11,7,2021,St Andrews
Tesorero,0,0,7,2021,St Andrews
Asistente Contabilidad,0,1,7,2021,St Andrews
Jefe RRHH,0,1,7,2021,St Andrews
Jefe de Adquisicion,0,1,7,2021,St Andrews
Prevencion de Riesgo,1,1,7,2021,St Andrews
Control de Gestion,0,0,7,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,34,1,7,2021,St Andrews
Operarios directos (produccion),137,0,8,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",63,2,8,2021,St Andrews
Jefes de Turno,0,2,8,2021,St Andrews
Supervisores Produccion,10,3,8,2021,St Andrews
Supervisores Calidad,4,0,8,2021,St Andrews
Monitores Calidad,17,2,8,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,23,11,8,2021,St Andrews
Tesorero,0,0,8,2021,St Andrews
Asistente Contabilidad,0,1,8,2021,St Andrews
Jefe RRHH,0,1,8,2021,St Andrews
Jefe de Adquisicion,0,1,8,2021,St Andrews
Prevencion de Riesgo,1,1,8,2021,St Andrews
Control de Gestion,0,0,8,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,30,1,8,2021,St Andrews
Operarios directos (produccion),63,0,9,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",25,2,9,2021,St Andrews
Jefes de Turno,0,2,9,2021,St Andrews
Supervisores Produccion,10,3,9,2021,St Andrews
Supervisores Calidad,4,0,9,2021,St Andrews
Monitores Calidad,17,2,9,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,23,11,9,2021,St Andrews
Tesorero,0,0,9,2021,St Andrews
Asistente Contabilidad,0,1,9,2021,St Andrews
Jefe RRHH,0,1,9,2021,St Andrews
Jefe de Adquisicion,0,1,9,2021,St Andrews
Prevencion de Riesgo,1,1,9,2021,St Andrews
Control de Gestion,0,0,9,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,20,1,9,2021,St Andrews
Operarios directos (produccion),173,8,1,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,1,2021,St Andrews
Jefes de Turno,0,2,1,2021,St Andrews
Supervisores Produccion,7,1,1,2021,St Andrews
Supervisores Calidad,1,1,1,2021,St Andrews
Monitores Calidad,16,2,1,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,13,1,2021,St Andrews
Tesorero,0,0,1,2021,St Andrews
Asistente Contabilidad,0,0,1,2021,St Andrews
Jefe RRHH,0,1,1,2021,St Andrews
Jefe de Adquisicion,0,1,1,2021,St Andrews
Prevencion de Riesgo,0,1,1,2021,St Andrews
Control de Gestion,0,0,1,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,17,1,1,2021,St Andrews
Operarios directos (produccion),169,8,2,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,2,2021,St Andrews
Jefes de Turno,0,2,2,2021,St Andrews
Supervisores Produccion,7,1,2,2021,St Andrews
Supervisores Calidad,1,1,2,2021,St Andrews
Monitores Calidad,17,2,2,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,13,2,2021,St Andrews
Tesorero,0,0,2,2021,St Andrews
Asistente Contabilidad,0,0,2,2021,St Andrews
Jefe RRHH,0,1,2,2021,St Andrews
Jefe de Adquisicion,0,1,2,2021,St Andrews
Prevencion de Riesgo,1,1,2,2021,St Andrews
Control de Gestion,0,0,2,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,17,1,2,2021,St Andrews
Operarios directos (produccion),174,8,3,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,3,2021,St Andrews
Jefes de Turno,0,2,3,2021,St Andrews
Supervisores Produccion,7,1,3,2021,St Andrews
Supervisores Calidad,1,1,3,2021,St Andrews
Monitores Calidad,17,2,3,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,28,13,3,2021,St Andrews
Tesorero,0,0,3,2021,St Andrews
Asistente Contabilidad,0,0,3,2021,St Andrews
Jefe RRHH,0,1,3,2021,St Andrews
Jefe de Adquisicion,0,1,3,2021,St Andrews
Prevencion de Riesgo,1,1,3,2021,St Andrews
Control de Gestion,0,0,3,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,29,1,3,2021,St Andrews
Operarios directos (produccion),187,8,4,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,4,2021,St Andrews
Jefes de Turno,0,2,4,2021,St Andrews
Supervisores Produccion,13,1,4,2021,St Andrews
Supervisores Calidad,1,1,4,2021,St Andrews
Monitores Calidad,17,2,4,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,26,13,4,2021,St Andrews
Tesorero,0,0,4,2021,St Andrews
Asistente Contabilidad,0,0,4,2021,St Andrews
Jefe RRHH,0,1,4,2021,St Andrews
Jefe de Adquisicion,0,1,4,2021,St Andrews
Prevencion de Riesgo,1,1,4,2021,St Andrews
Control de Gestion,0,0,4,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,25,1,4,2021,St Andrews
Operarios directos (produccion),172,8,5,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,5,2021,St Andrews
Jefes de Turno,0,2,5,2021,St Andrews
Supervisores Produccion,13,1,5,2021,St Andrews
Supervisores Calidad,1,1,5,2021,St Andrews
Monitores Calidad,17,2,5,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,26,13,5,2021,St Andrews
Tesorero,0,0,5,2021,St Andrews
Asistente Contabilidad,0,0,5,2021,St Andrews
Jefe RRHH,0,1,5,2021,St Andrews
Jefe de Adquisicion,0,1,5,2021,St Andrews
Prevencion de Riesgo,1,1,5,2021,St Andrews
Control de Gestion,0,0,5,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,23,1,5,2021,St Andrews
Operarios directos (produccion),175,8,6,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",41,1,6,2021,St Andrews
Jefes de Turno,0,2,6,2021,St Andrews
Supervisores Produccion,13,1,6,2021,St Andrews
Supervisores Calidad,1,1,6,2021,St Andrews
Monitores Calidad,15,2,6,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,26,13,6,2021,St Andrews
Tesorero,0,0,6,2021,St Andrews
Asistente Contabilidad,0,0,6,2021,St Andrews
Jefe RRHH,0,1,6,2021,St Andrews
Jefe de Adquisicion,0,1,6,2021,St Andrews
Prevencion de Riesgo,1,1,6,2021,St Andrews
Control de Gestion,0,0,6,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,23,1,6,2021,St Andrews
Operarios directos (produccion),157,8,7,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",34,1,7,2021,St Andrews
Jefes de Turno,0,2,7,2021,St Andrews
Supervisores Produccion,13,1,7,2021,St Andrews
Supervisores Calidad,1,1,7,2021,St Andrews
Monitores Calidad,13,2,7,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,22,13,7,2021,St Andrews
Tesorero,0,0,7,2021,St Andrews
Asistente Contabilidad,0,0,7,2021,St Andrews
Jefe RRHH,0,1,7,2021,St Andrews
Jefe de Adquisicion,0,1,7,2021,St Andrews
Prevencion de Riesgo,1,1,7,2021,St Andrews
Control de Gestion,0,0,7,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,20,1,7,2021,St Andrews
Operarios directos (produccion),135,8,8,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",38,1,8,2021,St Andrews
Jefes de Turno,0,2,8,2021,St Andrews
Supervisores Produccion,13,1,8,2021,St Andrews
Supervisores Calidad,1,1,8,2021,St Andrews
Monitores Calidad,13,2,8,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,13,8,2021,St Andrews
Tesorero,0,0,8,2021,St Andrews
Asistente Contabilidad,0,0,8,2021,St Andrews
Jefe RRHH,0,1,8,2021,St Andrews
Jefe de Adquisicion,0,1,8,2021,St Andrews
Prevencion de Riesgo,1,1,8,2021,St Andrews
Control de Gestion,0,0,8,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,22,1,8,2021,St Andrews
Operarios directos (produccion),62,8,9,2021,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",12,1,9,2021,St Andrews
Jefes de Turno,0,2,9,2021,St Andrews
Supervisores Produccion,8,1,9,2021,St Andrews
Supervisores Calidad,1,1,9,2021,St Andrews
Monitores Calidad,9,2,9,2021,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,22,13,9,2021,St Andrews
Tesorero,0,0,9,2021,St Andrews
Asistente Contabilidad,0,0,9,2021,St Andrews
Jefe RRHH,0,1,9,2021,St Andrews
Jefe de Adquisicion,0,1,9,2021,St Andrews
Prevencion de Riesgo,1,1,9,2021,St Andrews
Control de Gestion,0,0,9,2021,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,15,1,9,2021,St Andrews
Operarios directos (produccion),111,20,1,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",7,8,1,2021,Landes
Jefes de Turno,0,2,1,2021,Landes
Supervisores Produccion,0,15,1,2021,Landes
Supervisores Calidad,0,4,1,2021,Landes
Monitores Calidad,4,8,1,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,26,1,2021,Landes
Tesorero,0,1,1,2021,Landes
Asistente Contabilidad,0,1,1,2021,Landes
Jefe RRHH,1,2,1,2021,Landes
Jefe de Adquisicion,0,1,1,2021,Landes
Prevencion de Riesgo,0,2,1,2021,Landes
Control de Gestion,0,1,1,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,1,2021,Landes
Operarios directos (produccion),107,20,2,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",8,8,2,2021,Landes
Jefes de Turno,0,2,2,2021,Landes
Supervisores Produccion,0,15,2,2021,Landes
Supervisores Calidad,0,4,2,2021,Landes
Monitores Calidad,4,8,2,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,26,2,2021,Landes
Tesorero,0,1,2,2021,Landes
Asistente Contabilidad,0,1,2,2021,Landes
Jefe RRHH,2,1,2,2021,Landes
Jefe de Adquisicion,0,1,2,2021,Landes
Prevencion de Riesgo,0,2,2,2021,Landes
Control de Gestion,0,1,2,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,2,2021,Landes
Operarios directos (produccion),135,20,3,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",9,8,3,2021,Landes
Jefes de Turno,0,2,3,2021,Landes
Supervisores Produccion,4,15,3,2021,Landes
Supervisores Calidad,0,3,3,2021,Landes
Monitores Calidad,8,6,3,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,23,3,2021,Landes
Tesorero,0,1,3,2021,Landes
Asistente Contabilidad,0,1,3,2021,Landes
Jefe RRHH,2,1,3,2021,Landes
Jefe de Adquisicion,1,1,3,2021,Landes
Prevencion de Riesgo,0,2,3,2021,Landes
Control de Gestion,0,1,3,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,3,2021,Landes
Operarios directos (produccion),134,20,4,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",9,8,4,2021,Landes
Jefes de Turno,0,2,4,2021,Landes
Supervisores Produccion,4,15,4,2021,Landes
Supervisores Calidad,0,3,4,2021,Landes
Monitores Calidad,8,6,4,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,23,4,2021,Landes
Tesorero,0,1,4,2021,Landes
Asistente Contabilidad,0,1,4,2021,Landes
Jefe RRHH,2,1,4,2021,Landes
Jefe de Adquisicion,1,1,4,2021,Landes
Prevencion de Riesgo,0,2,4,2021,Landes
Control de Gestion,0,1,4,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,4,2021,Landes
Operarios directos (produccion),103,21,5,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",7,8,5,2021,Landes
Jefes de Turno,0,2,5,2021,Landes
Supervisores Produccion,3,15,5,2021,Landes
Supervisores Calidad,0,3,5,2021,Landes
Monitores Calidad,3,9,5,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,24,5,2021,Landes
Tesorero,0,1,5,2021,Landes
Asistente Contabilidad,0,1,5,2021,Landes
Jefe RRHH,2,1,5,2021,Landes
Jefe de Adquisicion,1,1,5,2021,Landes
Prevencion de Riesgo,0,2,5,2021,Landes
Control de Gestion,0,1,5,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,5,2021,Landes
Operarios directos (produccion),93,21,6,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",7,8,6,2021,Landes
Jefes de Turno,0,2,6,2021,Landes
Supervisores Produccion,3,15,6,2021,Landes
Supervisores Calidad,0,3,6,2021,Landes
Monitores Calidad,3,9,6,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,24,6,2021,Landes
Tesorero,0,1,6,2021,Landes
Asistente Contabilidad,0,1,6,2021,Landes
Jefe RRHH,2,1,6,2021,Landes
Jefe de Adquisicion,1,1,6,2021,Landes
Prevencion de Riesgo,0,2,6,2021,Landes
Control de Gestion,0,1,6,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,6,2021,Landes
Operarios directos (produccion),84,22,7,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",5,7,7,2021,Landes
Jefes de Turno,0,2,7,2021,Landes
Supervisores Produccion,3,15,7,2021,Landes
Supervisores Calidad,0,3,7,2021,Landes
Monitores Calidad,3,9,7,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,25,7,2021,Landes
Tesorero,0,1,7,2021,Landes
Asistente Contabilidad,0,1,7,2021,Landes
Jefe RRHH,2,1,7,2021,Landes
Jefe de Adquisicion,1,1,7,2021,Landes
Prevencion de Riesgo,0,2,7,2021,Landes
Control de Gestion,0,1,7,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,7,2021,Landes
Operarios directos (produccion),80,22,8,2021,Landes
"Operarios Indirectos (Frigorifico, Aseo, etc)",3,7,8,2021,Landes
Jefes de Turno,0,2,8,2021,Landes
Supervisores Produccion,3,15,8,2021,Landes
Supervisores Calidad,0,3,8,2021,Landes
Monitores Calidad,3,9,8,2021,Landes
Operadores Mantencion y Administracion Directo Planta (Contador,0,25,8,2021,Landes
Tesorero,0,1,8,2021,Landes
Asistente Contabilidad,0,1,8,2021,Landes
Jefe RRHH,2,1,8,2021,Landes
Jefe de Adquisicion,1,1,8,2021,Landes
Prevencion de Riesgo,0,2,8,2021,Landes
Control de Gestion,0,1,8,2021,Landes
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,8,2021,Landes
Operarios directos (produccion),266,9,1,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,1,2021,Camanchaca
Jefes de Turno,0,4,1,2021,Camanchaca
Supervisores Produccion,9,4,1,2021,Camanchaca
Supervisores Calidad,0,1,1,2021,Camanchaca
Monitores Calidad,28,1,1,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,1,2021,Camanchaca
Tesorero,0,0,1,2021,Camanchaca
Asistente Contabilidad,0,1,1,2021,Camanchaca
Jefe RRHH,0,1,1,2021,Camanchaca
Jefe de Adquisicion,0,0,1,2021,Camanchaca
Prevencion de Riesgo,0,1,1,2021,Camanchaca
Control de Gestion,0,2,1,2021,Camanchaca
Operarios directos (produccion),216,9,2,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,2,2021,Camanchaca
Jefes de Turno,0,4,2,2021,Camanchaca
Supervisores Produccion,9,4,2,2021,Camanchaca
Supervisores Calidad,0,1,2,2021,Camanchaca
Monitores Calidad,28,1,2,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,2,2021,Camanchaca
Tesorero,0,0,2,2021,Camanchaca
Asistente Contabilidad,0,1,2,2021,Camanchaca
Jefe RRHH,0,1,2,2021,Camanchaca
Jefe de Adquisicion,0,0,2,2021,Camanchaca
Prevencion de Riesgo,0,1,2,2021,Camanchaca
Control de Gestion,0,2,2,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,3,2021,Camanchaca
Jefes de Turno,0,4,3,2021,Camanchaca
Supervisores Produccion,9,4,3,2021,Camanchaca
Supervisores Calidad,0,1,3,2021,Camanchaca
Monitores Calidad,28,1,3,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,3,2021,Camanchaca
Tesorero,0,0,3,2021,Camanchaca
Asistente Contabilidad,0,1,3,2021,Camanchaca
Jefe RRHH,0,1,3,2021,Camanchaca
Jefe de Adquisicion,0,0,3,2021,Camanchaca
Prevencion de Riesgo,0,1,3,2021,Camanchaca
Control de Gestion,0,2,3,2021,Camanchaca
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,3,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,4,2021,Camanchaca
Jefes de Turno,0,4,4,2021,Camanchaca
Supervisores Produccion,9,4,4,2021,Camanchaca
Supervisores Calidad,0,1,4,2021,Camanchaca
Monitores Calidad,28,1,4,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,4,2021,Camanchaca
Tesorero,0,0,4,2021,Camanchaca
Asistente Contabilidad,0,1,4,2021,Camanchaca
Jefe RRHH,0,1,4,2021,Camanchaca
Jefe de Adquisicion,0,0,4,2021,Camanchaca
Prevencion de Riesgo,0,1,4,2021,Camanchaca
Control de Gestion,0,2,4,2021,Camanchaca
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,4,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,5,2021,Camanchaca
Jefes de Turno,0,4,5,2021,Camanchaca
Supervisores Produccion,9,4,5,2021,Camanchaca
Supervisores Calidad,0,1,5,2021,Camanchaca
Monitores Calidad,28,1,5,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,5,2021,Camanchaca
Tesorero,0,0,5,2021,Camanchaca
Asistente Contabilidad,0,1,5,2021,Camanchaca
Jefe RRHH,0,1,5,2021,Camanchaca
Jefe de Adquisicion,0,0,5,2021,Camanchaca
Prevencion de Riesgo,0,1,5,2021,Camanchaca
Control de Gestion,0,2,5,2021,Camanchaca
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,5,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,6,2021,Camanchaca
Jefes de Turno,0,4,6,2021,Camanchaca
Supervisores Produccion,9,4,6,2021,Camanchaca
Supervisores Calidad,0,1,6,2021,Camanchaca
Monitores Calidad,27,1,6,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,6,2021,Camanchaca
Tesorero,0,0,6,2021,Camanchaca
Asistente Contabilidad,0,1,6,2021,Camanchaca
Jefe RRHH,0,1,6,2021,Camanchaca
Jefe de Adquisicion,0,0,6,2021,Camanchaca
Prevencion de Riesgo,0,1,6,2021,Camanchaca
Control de Gestion,0,2,6,2021,Camanchaca
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,6,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,8,7,2021,Camanchaca
Jefes de Turno,0,4,7,2021,Camanchaca
Supervisores Produccion,9,4,7,2021,Camanchaca
Supervisores Calidad,0,1,7,2021,Camanchaca
Monitores Calidad,27,1,7,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,7,2021,Camanchaca
Tesorero,0,0,7,2021,Camanchaca
Asistente Contabilidad,0,1,7,2021,Camanchaca
Jefe RRHH,0,1,7,2021,Camanchaca
Jefe de Adquisicion,0,0,7,2021,Camanchaca
Prevencion de Riesgo,0,1,7,2021,Camanchaca
Control de Gestion,0,2,7,2021,Camanchaca
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,7,2021,Camanchaca
Operarios directos (produccion),107,3,8,2021,Camanchaca
"Operarios Indirectos (Frigorifico, Aseo, etc)",32,10,8,2021,Camanchaca
Jefes de Turno,0,4,8,2021,Camanchaca
Supervisores Produccion,9,4,8,2021,Camanchaca
Supervisores Calidad,0,1,8,2021,Camanchaca
Monitores Calidad,14,1,8,2021,Camanchaca
Operadores Mantencion y Administracion Directo Planta (Contador,10,17,8,2021,Camanchaca
Tesorero,0,0,8,2021,Camanchaca
Asistente Contabilidad,0,1,8,2021,Camanchaca
Jefe RRHH,0,1,8,2021,Camanchaca
Jefe de Adquisicion,0,0,8,2021,Camanchaca
Prevencion de Riesgo,0,1,8,2021,Camanchaca
Control de Gestion,0,2,8,2021,Camanchaca
Operarios directos (produccion),5,156,1,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",1,31,1,2021,Manuelita
Jefes de Turno,0,3,1,2021,Manuelita
Supervisores Produccion,0,7,1,2021,Manuelita
Supervisores Calidad,0,2,1,2021,Manuelita
Monitores Calidad,0,18,1,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,1,14,1,2021,Manuelita
Tesorero,0,1,1,2021,Manuelita
Asistente Contabilidad,0,2,1,2021,Manuelita
Jefe RRHH,0,1,1,2021,Manuelita
Jefe de Adquisicion,0,1,1,2021,Manuelita
Prevencion de Riesgo,0,1,1,2021,Manuelita
Control de Gestion,0,0,1,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,1,2021,Manuelita
Operarios directos (produccion),16,141,2,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",11,52,2,2021,Manuelita
Jefes de Turno,0,3,2,2021,Manuelita
Supervisores Produccion,0,7,2,2021,Manuelita
Supervisores Calidad,0,2,2,2021,Manuelita
Monitores Calidad,2,17,2,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,1,15,2,2021,Manuelita
Tesorero,0,1,2,2021,Manuelita
Asistente Contabilidad,0,2,2,2021,Manuelita
Jefe RRHH,0,1,2,2021,Manuelita
Jefe de Adquisicion,0,1,2,2021,Manuelita
Prevencion de Riesgo,0,1,2,2021,Manuelita
Control de Gestion,0,0,2,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,2,2021,Manuelita
Operarios directos (produccion),50,159,3,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",8,62,3,2021,Manuelita
