Indicador,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Ingreso Materia Prima Bruta Terceros,983290.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,878963,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Camanchaca
Unidades por kilo mmpp terceros*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,4016020.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Camanchaca
Unidades por kilo mmpp propia*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,1067163,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,943893,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Camanchaca
Unidades por kilo mmpp terceros*,63,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Camanchaca
Ingreso Materia Bruta Prima Propia,1310.9,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,1181.44,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Camanchaca
Unidades por kilo mmpp propia*,72,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,915.8,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,847.8,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Camanchaca
Ingreso Materia Bruta Prima Propia,1812461,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1619979.542,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Manuelita
Unidades por kilo mmpp propia*,82,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1261344.543,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1123458.18,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Manuelita
Unidades por kilo mmpp terceros*,54.2963093,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Manuelita
Ingreso Materia Bruta Prima Propia,2083091,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1896639.323,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Manuelita
Unidades por kilo mmpp propia*,77.4872278,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,996710.8168,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,885390.5268,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Manuelita
Unidades por kilo mmpp terceros*,54.22401324,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Manuelita
Ingreso Materia Bruta Prima Propia,3113981,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,2780738.575,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Manuelita
Unidades por kilo mmpp propia*,76.14048258,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,684856,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,618059.0146,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Manuelita
Unidades por kilo mmpp terceros*,59.66716118,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Manuelita
Ingreso Materia Bruta Prima Propia,1964189,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1727103.771,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Manuelita
Unidades por kilo mmpp propia*,74,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1252860,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1084056.276,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Manuelita
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Manuelita
Ingreso Materia Bruta Prima Propia,2116897,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1796674.996,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Manuelita
Unidades por kilo mmpp propia*,77,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1238044,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1016327.447,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Manuelita
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Manuelita
Ingreso Materia Bruta Prima Propia,1591197,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1348251,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Manuelita
Unidades por kilo mmpp propia*,77.53987722,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1196010,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1022007.084,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Manuelita
Unidades por kilo mmpp terceros*,51.99169019,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Manuelita
Ingreso Materia Bruta Prima Propia,380358,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,332805,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Manuelita
Unidades por kilo mmpp propia*,66.06006972,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,102404,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,88007,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Manuelita
Unidades por kilo mmpp terceros*,41.39279716,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,Manuelita
Ingreso Materia Prima Bruta Propia,1001615.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,742000.986,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Sudmaris
Unidades por kilo mmpp propia*,65,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,1,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,2371829,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1996818.919,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Sudmaris
Unidades por kilo mmpp terceros*,67,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Sudmaris
Unidades por kilo mmpp propia*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,1385808,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,935469,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Sudmaris
Unidades por kilo mmpp propia*,61,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,2,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,2563012,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2132653.123,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Sudmaris
Unidades por kilo mmpp terceros*,65.62761506,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Sudmaris
Unidades por kilo mmpp propia*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,3153050,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2298721,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Sudmaris
Unidades por kilo mmpp propia*,66,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,3,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1618932,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1426054,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Sudmaris
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Sudmaris
Unidades por kilo mmpp propia*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,3294250.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2634603.727,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Sudmaris
Unidades por kilo mmpp propia*,87,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,4,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1089698.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,968983.834,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Sudmaris
Unidades por kilo mmpp terceros*,49.12962963,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Sudmaris
Unidades por kilo mmpp propia*,87,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2937250,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2258486.684,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Sudmaris
Unidades por kilo mmpp propia*,82.6199262,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,5,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1208675,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1054905.646,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Sudmaris
Unidades por kilo mmpp terceros*,50.968,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Sudmaris
Unidades por kilo mmpp propia*,82.6199262,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2876653.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2317048.07,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Sudmaris
Unidades por kilo mmpp propia*,87,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,6,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1095123.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,928906.686,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Sudmaris
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Sudmaris
Unidades por kilo mmpp propia*,87,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2648801.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1676993.85,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Sudmaris
Unidades por kilo mmpp propia*,58.99176955,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,7,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1448252,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1245556.54,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Sudmaris
Unidades por kilo mmpp terceros*,55.74825175,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Sudmaris
Unidades por kilo mmpp propia*,58.99176955,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,381190,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,318517.14,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Sudmaris
Unidades por kilo mmpp propia*,53.51515152,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,4016453.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,3445273.34,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Sudmaris
Unidades por kilo mmpp terceros*,62.72413793,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,532159.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,463951.46,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Sudmaris
Unidades por kilo mmpp terceros*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2285150,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Blue Shell
Ingreso Materia Prima Neta Propia,2049661,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2021,Blue Shell
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,2448660,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2167151,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2021,Blue Shell
Unidades por kilo mmpp terceros*,69,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1814450,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1610978,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2021,Blue Shell
Unidades por kilo mmpp propia*,48,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,2374390,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2086552,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2021,Blue Shell
Unidades por kilo mmpp terceros*,73,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1244540,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1046435,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2021,Blue Shell
Unidades por kilo mmpp propia*,72,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3410900,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,3087413,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2021,Blue Shell
Unidades por kilo mmpp terceros*,69,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,713210,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Blue Shell
Ingreso Materia Prima Neta Propia,627628,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2021,Blue Shell
Unidades por kilo mmpp propia*,72,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3353630,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2984611,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,5,2021,Blue Shell
Unidades por kilo mmpp terceros*,68,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1535990,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1360721,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2021,Blue Shell
Unidades por kilo mmpp propia*,64,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3426891,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,3049516,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,6,2021,Blue Shell
Unidades por kilo mmpp terceros*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1702690,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1485184,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,7,2021,Blue Shell
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,3202770,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2878760,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,7,2021,Blue Shell
Unidades por kilo mmpp terceros*,64,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,2014570,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1658567,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,8,2021,Blue Shell
Unidades por kilo mmpp propia*,49,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,2724160,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2446999,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,8,2021,Blue Shell
Unidades por kilo mmpp terceros*,70,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,907810,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,Blue Shell
Ingreso Materia Prima Neta Propia,782004,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,9,2021,Blue Shell
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,1747930,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,1584996,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,9,2021,Blue Shell
Unidades por kilo mmpp terceros*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,Blue Shell
Ingreso Materia Prima Propia,2257413,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,St Andrews
Ingreso Materia Prima Neta Propia,1763480,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2020,St Andrews
Unidades por kilo mmpp propia*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,St Andrews
Ingreso Materia Prima Terceros,1084872,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,St Andrews
Unidades por kilo mmpp terceros*,64,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,St Andrews
Ingreso Materia Prima Propia,2957168,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,St Andrews
Ingreso Materia Prima Neta Propia,2247137,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,St Andrews
Unidades por kilo mmpp propia*,57,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,St Andrews
Ingreso Materia Prima Terceros,977839,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,St Andrews
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,St Andrews
Ingreso Materia Prima Propia,4175218,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,St Andrews
Ingreso Materia Prima Neta Propia,3273434,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2020,St Andrews
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,St Andrews
Ingreso Materia Prima Terceros,1048480,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,St Andrews
Unidades por kilo mmpp terceros*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,St Andrews
Ingreso Materia Prima Propia,4357352,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,St Andrews
Ingreso Materia Prima Neta Propia,3433182,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2020,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,St Andrews
